PatientID,Age,Gender,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Outcome,PatientName,Email,SSN,Phone,Address,BirthDate,CreditCard
561,62,Female,3,82.2,62.9,36.7,89.7,26.6,1.69,1,Tricia Sutton,griffinmolly@example.net,301-19-4236,001-850-807-1379x904,"14980 Cunningham Square Suite 754, Port Lindaport, AK 99008",1937-05-20,4608865286399443
562,50,Female,5,133.2,54.0,11.8,66.9,28.3,2.14,1,Matthew Alexander,tsmith@example.com,633-40-7563,715-992-9957x6545,"45307 Michael Court, North Jessicaberg, MN 10910",1939-09-13,3517505998836033
563,39,Female,10,189.7,91.1,23.1,259.4,34.6,1.9,1,Robert Lawson,cherylatkins@example.com,706-43-3140,3292693819,"Unit 1542 Box 9401, DPO AP 33766",1977-03-05,4464454145353868
564,37,Male,4,75.2,108.8,34.9,19.8,34.8,1.18,1,Ashley Martinez,davispatricia@example.net,258-33-4702,+1-550-224-2807x7255,"PSC 4596, Box 7108, APO AE 80598",1999-08-01,6011846096511696
565,76,Female,1,107.9,51.2,12.3,129.3,31.0,1.57,0,Brittany Hanson,james09@example.net,884-41-6508,9523119063,"60300 Kathy Knoll Apt. 146, Chandlerberg, NM 09853",1939-05-08,2297268677086788
566,39,Female,12,97.0,53.4,11.0,20.6,28.8,1.75,1,Trevor Hernandez,fsteele@example.org,641-59-1278,572-759-5646,"8752 Jeffrey Harbors, North Caitlynland, MT 19024",2000-12-14,630478065935
567,48,Female,5,101.0,90.1,28.0,141.2,44.6,1.33,0,Jennifer Joseph,michelle16@example.org,836-48-1667,001-328-995-1109,"82042 Laura Extension, New Tiffany, MD 83994",1999-11-30,3576876743801905
568,78,Male,2,188.1,107.4,23.3,145.8,40.2,1.24,0,Allen Fisher,dstone@example.com,903-48-8569,315.830.7659x475,"57562 Cantu Well, Lake David, MH 40526",1996-06-29,3594991026046223
569,75,Female,15,130.8,72.9,27.5,99.0,29.7,1.65,1,Courtney Becker,rwhitney@example.org,154-76-6172,2657588345,"615 Tabitha Spur, North Laura, MS 80718",1979-06-12,3554950694233875
570,46,Male,13,130.6,74.5,20.5,49.5,37.6,1.44,0,Maureen Johnson,jonesjoseph@example.net,344-74-4425,(215)243-0473x5879,"826 Joseph Streets, Autumnmouth, OK 53486",1974-05-22,4933141552701555
571,57,Male,7,168.9,91.7,16.6,113.2,25.3,1.65,1,Stephanie Thomas,bharrington@example.org,957-47-4167,259-620-6905x555,"61172 Lee Vista Apt. 843, Alyssatown, MP 34994",1965-05-29,6011278199524717
572,46,Female,1,90.1,69.2,37.6,190.5,20.7,1.57,0,John Turner,arthur81@example.com,218-11-4008,475.207.9010x47011,"1520 Beth Cove Suite 720, Brettstad, AL 17246",1940-01-18,6539826604409974
573,73,Female,0,133.3,51.9,30.6,219.2,27.5,1.83,1,Christopher Gonzalez,karenfletcher@example.com,432-85-6635,(254)766-7549,"557 James Centers Apt. 562, New Amytown, NH 51037",1953-05-24,4406229721449111
574,43,Male,8,125.9,101.5,18.0,153.5,28.9,1.64,0,Jennifer Collier,wernercourtney@example.org,253-65-6638,(374)637-0567,"USNV Ryan, FPO AA 47618",1940-01-15,6011229461389404
575,29,Female,13,147.6,93.8,22.8,168.9,18.4,1.35,1,Annette Gibson,asandoval@example.org,211-89-7075,650-312-6221x7025,"Unit 1786 Box 1890, DPO AP 57017",1971-05-27,675980046899
576,32,Male,11,199.9,90.7,33.7,67.4,40.0,1.74,1,Nicholas Cole,heatherfernandez@example.com,465-29-7662,(678)631-1531,"67396 Buchanan Trail, Jaredton, KS 63951",1992-03-30,3572777246944867
577,73,Male,2,170.0,101.9,12.9,90.0,27.7,1.18,0,Stacy Chavez,corey68@example.org,287-26-7980,+1-526-288-6337x1899,"58258 Michael Mission Apt. 668, Thompsonchester, IA 45832",1936-09-29,4727148296572804
578,21,Female,10,121.7,97.3,15.9,57.3,33.7,0.68,0,Brittany Moore,parksalejandro@example.net,660-45-6679,917.598.9819x01848,"4767 Meadows Corner Suite 888, West Stephanie, DC 99742",1973-08-17,4149044456251364
579,78,Female,0,177.6,64.4,12.9,80.1,20.0,0.1,1,Gregory Lopez,fowlerdaniel@example.org,443-70-4354,+1-371-690-8918x475,"1741 Brown Groves Apt. 089, South Scott, AS 19972",1991-01-12,577298446490
580,78,Male,6,92.2,74.7,42.5,73.7,22.7,1.44,0,Diane Guzman,sanderseric@example.com,556-77-2650,579.654.6671x00435,"74417 Bradford Rue Apt. 737, Rogermouth, SD 97308",1984-12-27,4784133134291100222
581,21,Male,12,74.0,58.8,40.1,150.6,42.0,1.52,1,Regina Ortiz,jesseboyd@example.net,419-39-1128,883.532.8708,"334 Whitney Fields Apt. 521, East Mackenzie, MT 15816",1979-08-12,3592145497265018
582,67,Male,14,96.6,59.1,40.1,161.9,34.4,2.43,0,Kathleen Meyers,kbennett@example.org,179-44-7456,001-392-371-3846x179,"0485 Jonathan Ridge, North Virginiatown, NJ 03079",1948-02-29,30076725894889
583,54,Male,9,114.3,97.3,38.7,261.6,43.7,0.97,1,Deanna James,lucasjennifer@example.org,796-90-7677,8025622155,"Unit 6176 Box 6848, DPO AE 54288",1985-11-13,3563550567587693
584,52,Female,4,136.4,110.1,36.8,66.0,45.0,1.05,0,Sarah Wright,ryan06@example.net,756-48-9707,8174937203,"0369 Sharon Burgs, East Dawn, CA 88020",1969-03-28,6520148582309592
585,74,Female,4,150.0,117.4,29.1,182.5,28.0,0.58,1,Mrs. Karen Kramer,janicedavis@example.net,248-10-5974,+1-629-477-0961x258,"80914 Charles Field, Jamesfurt, TX 31979",1985-04-29,6563168957708093
586,68,Female,13,188.4,94.0,35.7,228.3,26.1,0.27,0,Gary Dougherty,isaacmccullough@example.net,504-99-6589,001-622-324-7719x05370,"7451 Juan Path Apt. 716, Lake Kenneth, PA 59326",1956-05-06,30391154792201
587,45,Female,0,136.3,62.9,11.5,161.2,41.2,1.95,1,Nancy Johnson,nguyenshelby@example.net,856-30-9967,311-433-6125x656,"42810 Johnson Overpass Suite 082, East Brian, NH 39894",1993-01-28,6011184305446144
588,60,Female,14,135.2,57.4,34.9,81.6,45.0,0.7,0,Kendra Hudson,tbecker@example.com,769-49-4804,838-364-3540x733,"6848 Hampton Burgs, Brianfurt, OR 06019",1979-05-01,2298647614885544
589,65,Male,14,76.5,106.9,41.1,83.5,35.0,1.56,1,Joshua Morris,vdonaldson@example.com,806-84-7095,001-202-789-6390x3170,"1829 Thompson Expressway, Alectown, GA 23670",1986-10-07,345747963316302
590,73,Female,8,74.5,90.5,30.0,25.2,39.5,1.75,0,Kelly Hendricks,jason28@example.net,672-69-7039,(778)404-8923x3640,"7152 Tanner Mission, South Mary, TN 82609",1936-07-21,372460011090558
591,21,Female,6,141.7,93.3,24.3,94.7,39.1,1.23,0,Kristina Johnson,christian75@example.net,198-91-9462,446.680.5710,"4223 Bush Inlet, East Gregorystad, AR 19269",1953-03-21,3556937586202264
592,36,Female,7,127.0,104.7,21.1,209.3,27.6,2.2,1,Philip Pham,becky69@example.com,349-94-2098,738.889.9796x42504,"62222 Kevin Coves, Lake Jenniferport, ME 46488",1971-02-28,180030744895227
593,59,Female,8,179.1,99.2,35.7,27.4,33.5,1.17,0,Amy Mills,yangjonathan@example.net,594-65-9182,001-306-447-6790,"993 Murphy Coves, West Shannon, MS 01733",1967-12-16,36634559604701
594,25,Female,5,90.9,108.4,37.7,72.2,40.5,0.78,0,John Townsend,molinafelicia@example.com,178-10-7061,7048595546,"45325 Adam Meadows, Port Angela, TX 67454",1973-02-13,560227626044
595,42,Male,11,73.2,53.9,44.8,199.3,36.6,2.25,1,Lauren Paul,kmartinez@example.com,753-89-3137,(443)472-4253,"6780 Jennifer Green, Port Craigland, IA 37024",1958-04-03,343970742197650
596,49,Male,4,128.4,102.3,23.7,219.3,18.6,2.17,1,Katrina Hanson,rojaskyle@example.com,260-33-6876,625.589.6750,"8853 Watts Parks, Phillipsmouth, PR 19816",1952-02-24,630416702342
597,75,Male,5,100.9,109.6,40.8,133.8,27.1,0.49,1,Tina Smith,virginiadavis@example.com,101-52-4271,001-996-707-9032x3854,"85814 Williams Roads, Brandonfort, GA 87569",2000-11-22,4994274651104310346
598,23,Female,10,76.4,70.0,32.5,197.2,21.9,0.16,1,Dr. Jordan Ferrell,darrell68@example.com,866-53-9914,385.955.2625x90796,"48834 Mosley Port, Prattshire, CO 80198",1937-07-10,30104955904622
599,32,Male,1,164.2,94.8,45.3,116.3,24.3,0.32,0,Lisa Coleman,gcraig@example.org,270-94-6244,216-434-5403x1259,"9691 Jones Valley, Port Kimberly, MN 83663",1996-08-01,4331340039517763480
600,46,Male,3,84.5,72.0,31.1,56.7,42.4,0.79,0,Susan Cruz,alannelson@example.org,645-81-6903,+1-320-210-9752,"4683 Eric Square Suite 280, Austinton, MT 09376",1956-12-26,342207895443362
601,36,Female,2,149.1,117.1,30.7,118.9,19.0,2.43,0,Robert Romero,ebony91@example.com,858-70-5116,257.652.9483,"5000 Michelle Landing, Jayfurt, MT 58809",1997-01-17,30188988577455
602,71,Female,12,106.5,52.3,33.1,166.4,23.9,1.44,1,Kristen Wilkinson,amyhamilton@example.net,148-79-8982,+1-882-665-5409x959,"781 George Parkways, Greenberg, VA 50773",1967-03-27,6011989641893365
603,57,Female,6,92.6,90.6,40.0,262.4,26.4,1.0,0,Daniel Jones,williamskenneth@example.org,595-32-9626,5743745596,"3136 Joseph Street Suite 735, North Kaitlynchester, VI 11326",1962-03-08,213123467697440
604,42,Male,8,119.4,61.7,48.6,32.9,34.7,2.23,0,Natalie Johnson,samuelrose@example.org,432-25-4948,(982)954-8945x1702,"149 Hanson Tunnel, Jimmyberg, MS 94738",1945-04-28,630474810755
605,77,Male,4,174.2,99.9,12.9,147.4,32.4,1.19,1,Maria Johnson,bellangela@example.com,720-23-9012,963.904.2337x8702,"528 Justin Drive, Riverahaven, VA 01870",1987-08-03,340121781626216
606,49,Female,5,121.0,62.3,12.1,100.8,23.9,0.86,0,Monica Gonzales,morrisjason@example.org,322-43-5810,604-531-1887,"219 Fernandez Pines Suite 466, Longport, DE 38707",1970-09-10,5345193076382759
607,34,Female,9,167.6,66.5,47.5,147.7,22.4,2.36,0,Michael Jones,tmurphy@example.org,125-47-1435,435-628-3605x522,"87807 Martin Village, Parkbury, NM 05605",1989-01-01,348248131267417
608,48,Male,13,86.3,84.6,31.2,21.3,24.4,2.14,1,Patricia Bennett DDS,ashley00@example.org,213-83-5482,001-716-866-9565x58570,"67697 William Mews, South Amber, WA 76075",1983-02-09,4732034544886
609,25,Male,11,170.5,114.0,34.6,96.7,31.6,2.12,0,Michael Ross,foxlaura@example.com,643-25-6858,+1-795-421-6162x3611,"290 Mccormick Stravenue Apt. 059, South Michael, MD 77782",1949-12-18,4887475445765609
610,67,Female,11,100.8,64.8,29.3,229.0,25.3,1.33,1,Gerald Davis,bianca83@example.org,711-34-5531,(260)993-1393x87704,"87507 Dylan Islands Apt. 665, West Courtney, SD 05504",1945-05-24,30107998505264
611,69,Female,1,158.1,60.1,13.7,159.6,43.6,1.99,1,Aaron Coffey,millercharles@example.org,721-61-6997,963.616.0016x3406,"4876 Michael Corner Apt. 977, New Christophertown, SC 00811",1989-06-11,4447617390946063
612,50,Male,15,143.6,103.1,40.7,132.6,30.5,0.53,0,David Wagner,david01@example.org,558-95-1914,(749)821-6056,"29250 Patricia Crescent Apt. 742, Rogersbury, NY 42021",1957-10-29,4771425543626558
613,66,Female,2,190.8,85.0,39.9,89.5,19.6,1.48,0,Matthew Carter,pattersonamy@example.com,365-68-3178,497.807.9234,"90810 Evans Port Apt. 755, South Raybury, ND 25528",1954-02-05,376927922195235
614,72,Male,2,120.4,113.8,22.5,92.8,37.7,2.46,0,Jean Thomas,aodonnell@example.com,364-17-1924,720.450.4896x823,"593 Roberto Plain, New Tonya, NE 48944",1973-04-19,5346154542273328
615,25,Male,11,78.6,60.3,22.2,115.0,26.9,0.8,1,Laura Bell,oalvarez@example.com,638-75-2232,+1-444-829-1379x0874,"847 George Club Suite 113, South Brianaburgh, FM 18660",1976-10-22,3585065729848457
616,32,Male,11,72.5,95.2,43.5,233.1,35.6,2.01,1,Mark Young,jeffrey01@example.net,407-11-7791,(932)284-3458x438,"1875 Tiffany Plain, South Lisa, ME 31135",2002-04-04,4039506910918823
617,36,Male,14,177.5,66.3,12.9,267.4,25.5,1.28,0,Carol Jones,mcdanielshawn@example.org,357-79-8864,591-886-6024x826,"9853 Jennifer Village Apt. 959, Kevinshire, AL 46551",1936-12-27,676248523125
618,46,Female,8,138.2,61.0,45.2,129.5,33.4,0.2,0,Hannah Perez,stevenclark@example.net,790-52-7767,5774860841,"6480 Amanda Field Suite 548, West Deborahside, IN 86639",1992-07-03,4847848432225
619,46,Female,14,170.8,97.8,20.3,117.7,38.8,1.93,1,Kimberly Johnson,bradfordashley@example.net,412-33-9921,001-444-910-9718x1174,"Unit 0353 Box 8206, DPO AA 57548",1968-09-02,4444318670017376891
620,68,Male,6,100.5,91.6,33.7,235.9,43.1,0.5,0,Helen Rice,vrubio@example.com,294-61-1164,+1-329-743-3488,"8416 Mcintyre Circles, Lake Nicholasburgh, WV 56532",1942-12-31,4486947031095096457
621,41,Male,7,114.9,102.8,47.4,126.4,25.1,1.62,0,Vicki Little,fisherjanice@example.org,721-47-9008,001-721-934-9690,"876 Turner Fort, Victoriaburgh, MI 74093",1998-02-02,2277750173619430
622,59,Male,10,73.9,71.7,37.1,159.1,27.0,0.31,1,Wendy Armstrong,garyhernandez@example.com,760-64-3323,397-948-4965,"46618 Summer Lodge, Lake Richard, VA 48270",1986-06-06,2720320912501332
623,56,Male,15,195.0,81.4,26.6,75.3,30.5,2.37,0,Stephanie Lawson,bishopholly@example.org,831-70-2710,5256616633,"0022 Garcia Prairie Suite 715, Rhondaside, GA 71672",1957-06-23,4798905229848468
624,53,Male,15,156.8,78.4,37.6,209.1,43.0,0.8,0,Jason Davis,williamhumphrey@example.org,849-31-2718,4525885167,"4911 Smith Unions, Davidville, PA 14924",1951-03-22,503874327979
625,50,Female,9,191.3,118.9,23.8,153.8,42.3,0.64,0,Jodi Callahan,rogersjason@example.net,140-70-6205,001-263-375-1904x9035,"80128 Joseph Valleys, Rodriguezstad, NH 16579",1985-06-28,213137892295448
626,57,Female,10,104.5,70.5,21.1,226.2,20.4,0.41,0,Mitchell Roth,christine98@example.org,418-89-9112,001-840-920-8779x20864,"9473 Dalton Divide, North Steven, AL 68444",1965-03-03,3543116851842403
627,43,Female,8,149.5,70.6,49.9,218.8,21.6,2.37,1,Micheal Savage,sharonhart@example.net,572-96-2812,7413176674,"278 Abbott Summit Apt. 388, Port Paul, NY 10208",1957-01-11,4968253994860978
628,78,Female,5,158.2,74.8,40.0,71.1,31.4,1.81,1,Shawn Harrington,julia71@example.net,273-75-3559,973.456.6208x929,"848 Sarah Station, Rubenfort, FL 42116",2004-09-12,30189959085718
629,30,Male,3,111.3,89.5,35.8,201.8,20.9,1.88,1,Mr. Roger Bennett,rogergarrett@example.net,878-92-3670,692-393-7411,"652 Paul Courts, New Kristin, UT 23583",1952-09-12,6011176073045264
630,74,Male,11,180.3,67.7,24.2,223.8,27.3,1.3,1,Erin Gonzales,andrew23@example.com,323-36-7892,637.493.9421,"1530 Misty Hills, North Autumnshire, MN 42698",1951-05-10,676295022047
631,25,Male,0,193.1,114.1,12.0,105.3,22.0,1.24,0,Trevor Daniel,oholland@example.com,824-66-1514,916.670.8899x7838,"2844 Norton Parks Apt. 018, Port Suzanne, FM 16217",1980-04-19,4832736350528599139
632,56,Male,7,185.0,68.6,11.2,60.1,35.2,0.36,0,Leslie Avila,talvarado@example.org,268-50-1823,(430)414-0542x47043,"07174 Bradley Landing Apt. 991, South Frank, FL 91586",1981-07-17,4613356962857238
633,54,Male,6,166.1,112.7,32.2,15.7,43.6,1.44,0,Timothy Alvarez,ahorne@example.net,102-57-1183,995.989.0442,"204 Snyder Cape, Nicholasborough, NE 72749",1964-10-14,3533827332146790
634,72,Female,1,106.1,57.2,40.5,132.7,44.9,0.69,0,Mary Moore,morannathaniel@example.com,951-92-6223,+1-320-543-9337x9230,"5067 Laura Avenue Suite 389, Alexisport, PR 62596",1951-02-01,3561664931260747
635,51,Male,7,106.6,96.0,31.5,107.0,28.1,2.45,1,Paul White,hawkinsrobert@example.com,596-26-4185,685-217-2310,"4445 Singleton Course, Jonesborough, MO 45387",1995-06-16,4988785512429139
636,30,Female,11,195.2,113.5,43.6,159.8,34.2,2.01,0,Holly Hampton,egilmore@example.com,981-24-2614,+1-908-250-1211,"35853 Boyer Court Suite 602, Lake Tammybury, MT 77909",1938-12-06,3519617382775327
637,78,Female,4,71.3,61.8,11.3,64.1,41.1,1.09,0,Natasha Sawyer,hernandezmichael@example.org,780-91-8625,(393)263-2063x48020,"36485 Richard Stream Suite 620, Jenniferhaven, SC 08842",1991-01-10,586934631878
638,39,Female,6,163.1,117.8,24.7,239.4,21.2,0.46,1,Maria Jones,hmckee@example.com,152-79-7168,(892)770-0767x9632,"7628 Parsons Road Suite 948, Port Michele, FL 15166",1952-05-02,4541137494685074
639,78,Female,3,161.8,81.7,19.5,82.3,36.6,1.98,1,Arthur Smith,qcarpenter@example.net,749-86-1375,001-840-214-4187x2506,"78397 Wanda Junctions, Lake Davidview, TX 49280",1952-09-05,5551098143919872
640,52,Male,4,150.9,116.2,27.9,74.1,29.0,0.39,1,Patricia Hall,haleymaria@example.net,861-79-2679,601.739.1214x78275,"651 Kenneth Center, Reyesfort, ID 34367",1975-08-23,4955654528833925
641,21,Female,7,198.7,97.4,12.9,140.5,23.6,0.55,0,Tammy Miller,gwade@example.net,576-98-2533,(479)281-7946x0572,"0552 Phelps Plaza Apt. 107, South Chelsea, KS 51704",1975-09-07,4039789837403737
642,76,Female,0,110.5,71.1,48.2,145.2,28.9,0.61,1,Colton Taylor,dpowell@example.com,987-24-2071,640.640.4696x446,"3262 Justin Courts Apt. 845, Barnettbury, SC 25688",1970-02-14,213132249882246
643,25,Female,0,114.2,63.2,18.9,71.1,20.1,1.44,0,Shawn Atkinson,eric28@example.org,250-69-6373,376-588-5207x50552,"Unit 5463 Box 0173, DPO AP 22565",1959-08-04,4882078892442
644,65,Male,14,80.3,71.3,46.9,86.0,36.8,1.99,0,Christine Mills,howarddouglas@example.com,703-46-1693,205-461-0786x4725,"Unit 7832 Box 3837, DPO AE 86462",1990-04-28,30573417510575
645,24,Male,3,127.6,56.5,27.0,59.3,24.8,0.85,1,Todd Parker,evelyn72@example.org,525-26-7679,584.427.3205x8610,"52183 Burgess Springs, North Derek, RI 82973",1975-06-23,2517626496075502
646,36,Male,2,103.9,60.1,49.4,202.5,26.4,0.3,1,Charles Wilson,william32@example.org,180-74-2563,524.527.0748,"308 White Row Suite 441, North Darrylside, MS 14019",2007-07-01,346494344748197
647,44,Female,12,114.6,57.3,32.2,216.0,21.3,1.21,1,Erin Edwards,jonathanwalton@example.org,822-15-1304,(456)968-9448,"4541 Jasmine Crossing Suite 075, South Lauren, OK 47544",1948-02-26,30517499656749
648,36,Female,9,178.5,79.6,47.2,135.7,41.3,1.9,0,Robin Peters,edwardsthomas@example.com,949-72-4150,+1-324-218-2159,"52596 Timothy Points Apt. 344, Moorefort, GA 75866",1936-12-16,4907399931282863056
649,75,Male,11,191.6,105.7,10.2,201.4,31.3,0.63,0,Cameron Reed,fergusoneileen@example.org,373-99-3549,626-479-3969x039,"537 Stephanie Branch Apt. 869, Reynoldsmouth, CO 29516",2001-08-19,3563951665647258
650,22,Female,1,94.1,59.9,39.9,207.1,33.4,0.63,0,Denise Gaines,nicholas93@example.net,851-18-6973,941.551.5174,"4870 Hart Causeway, West James, MI 14011",1952-08-02,4396295882660731
651,69,Male,11,118.4,59.1,46.1,51.1,33.4,2.37,1,Jennifer Wu,richardjames@example.net,383-94-6875,904.944.9121x00505,"14588 Brittany Drives, Stephanieland, AR 78759",1957-07-06,4671832502738976953
652,48,Male,2,190.7,95.0,15.6,267.2,29.1,2.39,0,Susan Stone,patricia79@example.net,648-20-3849,001-423-830-3861x1441,"688 Reed Mission, Kennethview, FL 63423",1951-03-08,30487523599069
653,52,Female,10,78.0,63.8,13.8,229.3,23.2,2.48,0,Susan Brown,fletcherbryan@example.net,872-26-7717,(560)575-0598,"0491 Ortega Parks, North Melissa, MA 63084",1998-12-07,4988027205089
654,47,Female,14,82.0,56.8,27.0,68.4,38.1,2.04,0,Dawn Shelton,krystalsims@example.org,562-93-9977,3929630057,"PSC 1835, Box 2477, APO AE 96648",1984-08-02,4713647126026689
655,40,Female,14,91.2,61.7,47.3,63.6,21.4,0.55,0,Michael Stevens,patrickmartinez@example.com,290-91-8988,836-341-1046,"949 John Landing Suite 135, New Amy, OR 28922",1990-01-23,30354360785146
656,44,Female,10,147.4,114.7,31.7,47.8,20.8,0.61,1,Lindsay Waters,renee60@example.org,612-39-6378,(392)340-3149,"237 Williams Pine, East William, FM 87642",1955-07-18,3587286187617576
657,32,Male,13,89.6,107.5,31.1,51.1,37.2,0.92,0,Larry Morgan,ryanmonroe@example.net,168-61-3846,+1-946-516-3400x03463,"97506 Green Trace Suite 982, Skinnerport, NJ 61786",1983-09-06,340921878116975
658,70,Male,10,195.8,74.8,15.6,210.3,23.6,0.86,1,Jessica Navarro,vmartinez@example.net,713-96-5928,213-713-4583x160,"785 Fisher Trace, Port Christopher, TN 63402",2000-09-01,4242046107428836293
659,55,Male,0,128.1,95.9,10.0,137.6,26.3,2.4,1,Scott Atkins,beckershannon@example.net,402-95-4565,+1-315-311-8033x81197,"391 Alexandria Heights, Myersport, WV 42185",1980-02-19,4398228718908
660,80,Male,0,135.2,87.6,42.4,219.3,30.8,1.99,0,Angela Bond,jconrad@example.org,565-41-3953,(516)913-0768x9848,"PSC 1728, Box 9297, APO AE 30352",2004-12-18,213156084061889
661,53,Male,5,102.1,97.4,13.5,209.8,30.1,1.84,0,Kayla Ibarra,marcussmith@example.net,486-73-5131,417.794.8100x544,"5289 Cassandra Bypass Suite 768, North Heather, IA 32592",1982-06-22,2717491745266867
662,53,Female,15,131.2,97.8,35.4,172.8,37.1,0.55,1,Cynthia Berry,tammy37@example.com,954-28-9819,757.577.7985,"9555 Middleton Trafficway Suite 950, Lake Charlesburgh, IA 05351",1996-05-03,3556529192011179
663,71,Male,4,156.0,94.0,46.6,194.1,34.8,2.28,0,Lisa Fuller,shawn18@example.org,632-66-9658,489-521-2779x03635,"397 Patricia Circle, Martinmouth, AR 12455",1987-06-25,4810955452419416
664,63,Male,7,167.7,68.6,18.3,19.8,35.4,2.09,1,Janet Alvarez,dillonshelby@example.com,501-43-8765,877-973-1759x569,"93946 Christina Port, Jamiehaven, VI 27586",1993-05-14,213136525024506
665,57,Male,1,168.0,52.7,36.6,96.4,37.3,0.49,0,Jacob Jones,armstrongjennifer@example.net,378-63-3474,272.715.5341,"86425 Barbara Coves Suite 891, Beardview, NY 07391",1952-04-14,30465296279937
666,32,Female,15,145.1,81.9,13.1,181.5,25.9,2.19,0,John Cardenas,fmurphy@example.net,105-44-1568,+1-253-856-5636,"4140 Yesenia Road Apt. 430, New Deborah, MA 55902",1958-11-07,374353141228586
667,23,Female,3,187.6,112.4,34.2,17.4,26.7,0.75,1,Melinda White,stephenpark@example.com,714-73-8553,+1-759-441-3011x975,"296 Marquez Trace, Port Melinda, ME 19244",2001-05-26,2717509021099247
668,21,Female,7,176.3,89.9,16.6,23.6,29.8,0.29,0,Shannon Castro,ihernandez@example.com,482-95-3956,(957)431-0821,"995 Martinez Row, New Cathyhaven, OK 54585",1996-12-20,373793695684638
669,53,Female,11,168.4,108.3,39.4,237.3,26.3,1.68,1,John Johnson PhD,gregory81@example.net,362-20-1764,+1-974-912-6303,"182 Laura Junctions, Espinozaland, KS 15053",1951-12-05,2258756716602828
670,60,Male,5,77.2,119.4,22.0,193.5,44.6,1.67,1,Christopher Chavez,tammypowers@example.com,374-20-7867,776.954.9959x766,"84296 Reynolds Valley Apt. 260, Jameshaven, NE 47600",1960-12-24,4939326585078188
671,30,Male,0,70.9,61.5,28.5,84.3,40.0,0.33,0,Carlos Smith,uevans@example.com,266-83-2518,001-258-689-8138x7961,"34312 Joe Cliff Apt. 083, Markberg, KY 48334",1970-11-18,6581659737394756
672,63,Female,14,97.6,98.4,34.0,194.6,22.4,0.87,1,Desiree Miranda,charlesalexander@example.net,563-48-7119,575.473.4728,"9675 Richardson Roads Suite 062, East Kristenfurt, VA 87197",1952-04-09,4586871210302
673,64,Female,3,156.3,97.2,16.9,221.8,18.2,2.48,0,Jeffery Hamilton,amanda23@example.net,787-61-1037,001-792-456-3084x25110,"113 Sharp Lakes, Kendrastad, WA 03959",2006-06-24,4469899420809
674,49,Male,0,123.5,118.6,39.7,95.1,19.2,1.73,0,Aaron Richardson,jjones@example.net,513-33-6761,999.628.7929x373,"112 Brandon Station, Olsonhaven, NE 50168",1952-06-14,676197985143
675,33,Male,12,122.3,119.0,22.1,24.4,24.6,1.85,0,Robert Reilly,matthew19@example.com,939-64-5486,001-252-629-6405x9582,"459 Susan Shores Apt. 298, Debbiestad, NH 88182",1947-10-17,2229607561718530
676,32,Female,1,185.0,98.1,36.5,258.5,21.1,0.61,1,Diane Hanson,anthony65@example.net,264-93-2295,458.296.6609,"Unit 3805 Box 2273, DPO AP 63520",1967-05-04,6011376482635891
677,51,Female,4,186.4,67.1,16.3,105.1,32.4,0.29,0,Nathaniel Johnson,dspencer@example.com,810-87-5085,764-957-8258x32359,"USNS Ortega, FPO AP 48103",1970-03-18,180074267042460
678,66,Female,13,188.2,105.9,37.5,42.8,41.2,0.76,0,Heather Tyler,qjones@example.org,611-65-6540,8585193118,"691 Barton Ford Apt. 227, West Raymondborough, AZ 97338",1956-10-12,3558144995096449
679,22,Female,7,110.8,57.5,15.1,143.4,37.9,0.7,1,Todd Cooper,srogers@example.net,281-42-6318,(238)366-9993,"0733 Kerr Dam, Taylorhaven, MI 39836",1988-08-28,4691949656636937
680,71,Male,7,159.8,104.6,27.0,215.6,23.8,0.66,1,Annette Williams,beckteresa@example.org,260-36-7017,(279)441-1652x473,"019 Mark Roads Suite 267, West Charlotteville, AK 42644",2000-12-14,180086601783294
681,70,Male,10,105.3,113.7,19.9,72.8,28.8,0.56,1,David Robertson,xwilliams@example.net,725-85-9757,8686097696,"229 Anderson Streets, North David, MI 34986",2000-07-22,2263728293727271
682,55,Male,2,94.8,76.8,39.9,85.3,31.7,1.48,1,Kenneth Bennett,jenniferpatel@example.com,601-37-3651,371-751-4894,"1257 Jessica Islands, South Brittany, WV 69694",1994-06-30,3526379897505233
683,43,Female,10,94.0,94.1,20.5,78.3,39.9,0.89,0,Jennifer Jones,kellyjones@example.org,532-14-8382,(754)767-6441,"9347 Jones Prairie, East Christopher, ND 80950",1971-05-09,4678675459795
684,37,Female,12,114.5,80.1,45.3,273.8,40.7,2.07,0,Stephanie Evans,joshuaaguilar@example.org,382-25-9904,+1-236-404-1102x724,"42674 Francis Wells, South Rachel, WI 99384",1951-05-26,6569030468559965
685,46,Male,3,125.9,80.6,45.7,66.5,42.6,0.54,0,Andrea Huerta,gail90@example.com,480-80-8195,644.217.8478,"66014 Robert Spring, South Janetstad, MT 03565",1965-04-26,38077516331919
686,28,Male,9,178.0,71.7,17.9,165.2,31.7,1.22,0,Susan Patrick,taylor94@example.com,690-59-1861,001-603-338-8542x7370,"89787 Huerta Ridges, Zacharyfort, MP 03441",1958-05-11,4699378705195763399
687,49,Male,10,85.6,103.3,34.6,256.5,36.7,0.13,1,Brianna Chen,hamiltonruth@example.org,848-37-3122,+1-699-268-5740,"23547 Reyes Crossroad Apt. 047, East Anthonyberg, WV 44477",2005-03-21,501836597044
